codigo_modular,nombre_institucion,red_fya,entra_estudio_clustering,Y1_ILA,Y1_ILA_zscore,Y2_TD,Y2_TD_zscore,Y2_TD_categoria,X1_NVC,X1_NVC_zscore,X2_TR,X4_IDD,X4_IDD_zscore,X10_IE,X10_IE_zscore,X11_RED_ajustado,X11_RED,X11_RED_zscore,X12_TOE,X13_TMATRC,X13_TMATRC_CATEGORIA,X13_TMATRC_MANN_KENDALL_P,X13_TMATRC_COEF_VARIACION,X15_MEIB,total_docentes_ajustado,metodo_ajuste,numero_fya,nombre_red_fya_matched,total_estudiantes,total_docentes
1210491,6010230 BARBARA D'ACHILLE,Red Fe y Alegría 47,Sí,,,,,,,,,,,,,7.714285714285714,,,,-2.0,ESTABLE,0.13285495573105388,5.737817878080455,,7.0,SIN_AJUSTE,,,,
683466,6010230 BARBARA D'ACHILLE,Red Fe y Alegría 47,Sí,,,,,,,,,,,,,13.0,,,,-2.0,ESTABLE,0.2596563563704499,8.417776223934611,,4.0,SIN_AJUSTE,,,,
1527233,6010231,Red Fe y Alegría 47,Sí,,,,,,,,,,,,,18.666666666666668,,,,3.25,ESTABLE,0.18848603806737496,5.507730658062689,,9.0,SIN_AJUSTE,,,,
683474,6010231,Red Fe y Alegría 47,Sí,,,,,,,,,,,,,16.23076923076923,,,,-1.0,ESTABLE,0.8509806870320558,4.626299976959736,,13.0,SIN_AJUSTE,,,,
682211,EL MILAGRO,Red Fe y Alegría 47,Sí,,,,,,,,,,,,,21.0,,,,13.666666666666666,CRECIMIENTO_SIGNIFICATIVO,0.024170547174545254,11.669322541775914,,12.0,SIN_AJUSTE,,,,
1261775,601563,Red Fe y Alegría 47,Sí,,,,,,,,,,,,,9.5,,,,1.5,ESTABLE,0.09087393998624904,18.0534186769688,,2.0,SIN_AJUSTE,,,,
571232,58,Red Fe y Alegría 48,Sí,,,,,,,,,,,,,16.75,,,,2.0,ESTABLE,0.4523703606773608,9.697088294966491,,4.0,SIN_AJUSTE,,,,
737783,467,Red Fe y Alegría 48,Sí,,,,,,,,,,,,,10.0,,,,-1.0,ESTABLE,0.34755803674116903,20.16369000117954,,1.0,SIN_AJUSTE,,,,
737791,469,Red Fe y Alegría 48,Sí,,,,,,,,,,,,,14.0,,,,3.0,ESTABLE,0.09087393998624904,18.081678721091176,,3.0,SIN_AJUSTE,,,,
937813,489 JOSE MARIA VELAZ,Red Fe y Alegría 48,Sí,,,,,,,,,,,,,17.0,,,,0.75,ESTABLE,0.7071142312899612,15.028317941009048,,1.0,SIN_AJUSTE,,,,
938118,731,Red Fe y Alegría 48,Sí,,,,,,,,,,,,,17.666666666666668,,,,3.5,ESTABLE,0.09087393998624904,17.521610540629535,,3.0,SIN_AJUSTE,,,,
938142,732 VIRGEN DE MONSERRAT,Red Fe y Alegría 48,Sí,,,,,,,,,,,,,21.571428571428573,,,,-0.25,ESTABLE,0.8509806870320558,5.183339691351171,,7.0,SIN_AJUSTE,,,,
674895,14045,Red Fe y Alegría 48,Sí,,,,,,,,,,,,,11.5,,,,0.2,ESTABLE,0.4523703606773608,3.0095661500858837,,2.0,SIN_AJUSTE,,,,
260307,14141,Red Fe y Alegría 48,Sí,,,,,,,,,,,,,12.0,,,,-1.4,ESTABLE,0.18848603806737496,11.605012887910334,,2.0,SIN_AJUSTE,,,,
350447,14144 SANTA ROSA,Red Fe y Alegría 48,Sí,,,,,,,,,,,,,23.473684210526315,,,,,,,,,19.0,SIN_AJUSTE,,,,
1785484,FE Y ALEGRIA 48,Red Fe y Alegría 48,Sí,,,,,,,,,,,,,44.2,,,,,,,,,5.0,AJUSTE_MAX45_ADMIN,,,,
1785476,FE Y ALEGRIA 48,Red Fe y Alegría 48,Sí,,,,,,,,,,,,,40.7,,,,,,,,,10.0,AJUSTE_MAX45_ADMIN,,,,
916023,14144 SANTA ROSA,Red Fe y Alegría 48,Sí,,,,,,,,,,,,,18.3,,,,19.6,ESTABLE,0.060289173990602185,4.731753854002848,,20.0,SIN_AJUSTE,,,,
260315,14145 SANTA JULIA BILLIART,Red Fe y Alegría 48,Sí,,,,,,,,,,,,,23.875,,,,0.6666666666666666,ESTABLE,0.8509806870320558,3.1750727557276432,,8.0,SIN_AJUSTE,,,,
1715820,14894,Red Fe y Alegría 48,Sí,,,,,,,,,,,,,15.0,,,,2.0,ESTABLE,0.09087393998624904,38.27087714730739,,1.0,SIN_AJUSTE,,,,
571745,14894,Red Fe y Alegría 48,Sí,,,,,,,,,,,,,10.0,,,,-1.6666666666666667,ESTABLE,0.09087393998624904,34.40104580768907,,1.0,SIN_AJUSTE,,,,
350496,14924 DANIEL ALCIDES CARRION,Red Fe y Alegría 48,Sí,,,,,,,,,,,,,21.157894736842106,,,,,,,,,19.0,SIN_AJUSTE,,,,
571356,14924 DANIEL ALCIDES CARRION,Red Fe y Alegría 48,Sí,,,,,,,,,,,,,22.5,,,,-12.75,ESTABLE,0.4523703606773608,6.826522206000327,,6.0,SIN_AJUSTE,,,,
613943,14975,Red Fe y Alegría 48,Sí,,,,,,,,,,,,,21.75,,,,-2.5,ESTABLE,0.18848603806737496,5.8844152061738475,,4.0,SIN_AJUSTE,,,,
464610,15219,Red Fe y Alegría 48,Sí,,,,,,,,,,,,,8.0,,,,0.6,ESTABLE,0.34755803674116903,17.50302083797262,,2.0,SIN_AJUSTE,,,,
464628,15220,Red Fe y Alegría 48,Sí,,,,,,,,,,,,,7.5,,,,0.0,ESTABLE,1.0,4.967597139298386,,2.0,SIN_AJUSTE,,,,
355271,15304,Red Fe y Alegría 48,Sí,,,,,,,,,,,,,14.0,,,,-2.4,DECRECIMIENTO_SIGNIFICATIVO,0.024170547174545254,9.226957351903208,,3.0,SIN_AJUSTE,,,,
552661,15314,Red Fe y Alegría 48,Sí,,,,,,,,,,,,,13.5,,,,1.0,ESTABLE,0.2596563563704499,9.537820913070131,,2.0,SIN_AJUSTE,,,,
561084,SAGRADO CORAZON DE JESUS,Red Fe y Alegría 48,Sí,,,,,,,,,,,,,22.333333333333332,,,,1.8,ESTABLE,0.09087393998624904,2.6281309982834156,,6.0,SIN_AJUSTE,,,,
