CODIGO_MODULAR,NOMBRE_INSTITUCION,NUMERO_FYA,X2_TR,X10_IE,fuente,metodo,nivel_infraestructura,conectividad_digital,equipamiento_tecnologico,infraestructura_electrica,internet_operativo,equipos_total,tiene_electricidad
1715416,1416,48,2,0.5223,conectividad_equipamiento,calculo_directo,Media (0.4-0.6),0.2,0.8412,0.85,0.0,13.0,1.0
1715424,1417,48,2,0.4972,conectividad_equipamiento,calculo_directo,Media (0.4-0.6),0.2,0.7572,0.85,0.0,9.0,1.0
1715440,1419,48,2,0.5655,conectividad_equipamiento,calculo_directo,Media (0.4-0.6),0.2,0.985,0.85,0.0,19.0,1.0
1745710,1558,48,2,0.504,conectividad_equipamiento,calculo_directo,Media (0.4-0.6),0.2,0.78,0.85,0.0,10.0,1.0
1745728,1559,48,2,0.57,conectividad_equipamiento,calculo_directo,Media (0.4-0.6),0.2,1.0,0.85,0.0,24.0,1.0
697714,37003,79,1,0.7016,imputacion_contextual,ruralidad_1,Alta (0.6-0.8),,,,,,
421222,37003,79,1,0.7016,imputacion_contextual,ruralidad_1,Alta (0.6-0.8),,,,,,
1785138,36831,79,2,0.4962,imputacion_contextual,ruralidad_2,Media (0.4-0.6),,,,,,
1151695,573,47,2,0.4962,imputacion_contextual,ruralidad_2,Media (0.4-0.6),,,,,,
1791433,EL MILAGRO,47,1,0.7016,imputacion_contextual,ruralidad_1,Alta (0.6-0.8),,,,,,
1791466,EL MILAGRO,47,1,0.7016,imputacion_contextual,ruralidad_1,Alta (0.6-0.8),,,,,,
1678879,693,54,2,0.27,conectividad_equipamiento,calculo_directo,Baja (0.2-0.4),0.2,0.0,0.85,0.0,0.0,1.0
1781897,64346,72,1,0.7016,imputacion_contextual,ruralidad_1,Alta (0.6-0.8),,,,,,
2533906,YANACANCHA,47,2,0.4962,imputacion_contextual,ruralidad_2,Media (0.4-0.6),,,,,,
3025715,5154 SANTIAGO ANTUNEZ DE MAYOLO,44,1,0.7016,imputacion_contextual,ruralidad_1,Alta (0.6-0.8),,,,,,
0428714,36153 SAYRI TUPAC,79,2,0.4962,imputacion_contextual,ruralidad_2,Media (0.4-0.6),,,,,,
0304642,64155,72,2,0.4962,imputacion_contextual,ruralidad_2,Media (0.4-0.6),,,,,,
0488403,88225,54,1,0.7016,imputacion_contextual,ruralidad_1,Alta (0.6-0.8),,,,,,
0481093,JOSE CARLOS MARIATEGUI,72,1,0.7016,imputacion_contextual,ruralidad_1,Alta (0.6-0.8),,,,,,
1768829,1574,47,2,0.4962,imputacion_contextual,ruralidad_2,Media (0.4-0.6),,,,,,
0600692,NUESTRA SE¥ORA DE LA CANDELARIA,79,2,0.4962,imputacion_contextual,ruralidad_2,Media (0.4-0.6),,,,,,
